Date_Index,Daily Estimated Operating Income
1722,723.6521739130435
1723,723.5978260869565
1724,723.5434782608696
1725,723.4891304347826
1726,723.4347826086956
1727,723.3804347826087
1728,723.3260869565217
1729,723.2717391304348
1730,723.2173913043479
1731,723.1630434782609
1732,723.1086956521739
1733,723.054347826087
1734,723.0
1735,723.554347826087
1736,724.1086956521739
1737,724.6630434782609
1738,725.2173913043479
1739,725.7717391304348
1740,726.3260869565217
1741,726.8804347826087
1742,727.4347826086956
1743,727.9891304347826
1744,728.5434782608696
1745,729.0978260869565
1746,729.6521739130435
1747,730.2065217391304
1748,730.7608695652174
1749,731.3152173913044
1750,731.8695652173913
1751,732.4239130434783
1752,732.9782608695652
1753,733.5326086956521
1754,734.0869565217391
1755,734.6413043478261
1756,735.195652173913
1757,735.75
1758,736.304347826087
1759,736.8586956521739
1760,737.4130434782609
1761,737.9673913043479
1762,738.5217391304348
1763,739.0760869565217
1764,739.6304347826087
1765,740.1847826086956
1766,740.7391304347826
1767,741.2934782608696
1768,741.8478260869565
1769,742.4021739130435
1770,742.9565217391305
1771,743.5108695652174
1772,744.0652173913044
1773,744.6195652173913
1774,745.1739130434783
1775,745.7282608695652
1776,746.2826086956521
1777,746.8369565217391
1778,747.3913043478261
1779,747.945652173913
1780,748.5
1781,749.054347826087
1782,749.6086956521739
1783,750.1630434782609
1784,750.7173913043479
1785,751.2717391304348
1786,751.8260869565217
1787,752.3804347826087
1788,752.9347826086956
1789,753.4891304347826
1790,754.0434782608696
1791,754.5978260869565
1792,755.1521739130435
1793,755.7065217391305
1794,756.2608695652174
1795,756.8152173913044
1796,757.3695652173913
1797,757.9239130434783
1798,758.4782608695652
1799,759.0326086956521
1800,759.5869565217391
1801,760.1413043478261
1802,760.695652173913
1803,761.25
1804,761.804347826087
1805,762.3586956521739
1806,762.9130434782609
1807,763.4673913043479
1808,764.0217391304348
1809,764.5760869565217
1810,765.1304347826087
1811,765.6847826086956
1812,766.2391304347826
1813,766.7934782608696
1814,767.3478260869565
1815,767.9021739130435
1816,768.4565217391305
1817,769.0108695652174
1818,769.5652173913044
1819,770.1195652173913
1820,770.6739130434783
1821,771.2282608695652
1822,771.7826086956521
1823,772.3369565217391
1824,772.8913043478261
1825,773.445652173913
1826,774.0
1827,773.6777777777778
1828,773.3555555555556
1829,773.0333333333333
1830,772.7111111111111
1831,772.3888888888889
1832,772.0666666666667
1833,771.7444444444444
1834,771.4222222222222
1835,771.1
1836,770.7777777777778
1837,770.4555555555555
1838,770.1333333333333
1839,769.8111111111111
1840,769.4888888888889
1841,769.1666666666666
1842,768.8444444444444
1843,768.5222222222222
1844,768.2
1845,767.8777777777777
1846,767.5555555555555
1847,767.2333333333333
1848,766.9111111111112
1849,766.5888888888888
1850,766.2666666666667
1851,765.9444444444445
1852,765.6222222222223
1853,765.3
1854,764.9777777777778
1855,764.6555555555556
1856,764.3333333333334
1857,764.0111111111111
1858,763.6888888888889
1859,763.3666666666667
1860,763.0444444444445
1861,762.7222222222222
1862,762.4
1863,762.0777777777778
1864,761.7555555555556
1865,761.4333333333333
1866,761.1111111111111
1867,760.7888888888889
1868,760.4666666666667
1869,760.1444444444444
1870,759.8222222222222
1871,759.5
1872,759.1777777777778
1873,758.8555555555556
1874,758.5333333333333
1875,758.2111111111111
1876,757.8888888888889
1877,757.5666666666667
1878,757.2444444444444
1879,756.9222222222222
1880,756.6
1881,756.2777777777778
1882,755.9555555555555
1883,755.6333333333333
1884,755.3111111111111
1885,754.9888888888889
1886,754.6666666666666
1887,754.3444444444444
1888,754.0222222222222
1889,753.7
1890,753.3777777777777
1891,753.0555555555555
1892,752.7333333333333
1893,752.4111111111112
1894,752.0888888888888
1895,751.7666666666667
1896,751.4444444444445
1897,751.1222222222223
1898,750.8
1899,750.4777777777778
1900,750.1555555555556
1901,749.8333333333334
1902,749.5111111111111
1903,749.1888888888889
1904,748.8666666666667
1905,748.5444444444445
1906,748.2222222222222
1907,747.9
1908,747.5777777777778
1909,747.2555555555556
1910,746.9333333333333
1911,746.6111111111111
1912,746.2888888888889
1913,745.9666666666667
1914,745.6444444444444
1915,745.3222222222222
1916,745.0
1917,744.2967032967033
1918,743.5934065934066
1919,742.8901098901099
1920,742.1868131868132
1921,741.4835164835165
1922,740.7802197802198
1923,740.0769230769231
1924,739.3736263736264
1925,738.6703296703297
1926,737.967032967033
1927,737.2637362637363
1928,736.5604395604396
1929,735.8571428571429
1930,735.1538461538462
1931,734.4505494505495
1932,733.7472527472528
1933,733.0439560439561
1934,732.3406593406594
1935,731.6373626373627
1936,730.934065934066
1937,730.2307692307693
1938,729.5274725274726
1939,728.8241758241758
1940,728.1208791208791
1941,727.4175824175824
1942,726.7142857142857
1943,726.010989010989
1944,725.3076923076923
1945,724.6043956043956
1946,723.9010989010989
1947,723.1978021978022
1948,722.4945054945055
1949,721.7912087912088
1950,721.0879120879121
1951,720.3846153846154
1952,719.6813186813187
1953,718.978021978022
1954,718.2747252747253
1955,717.5714285714286
1956,716.8681318681319
1957,716.1648351648352
1958,715.4615384615385
1959,714.7582417582418
1960,714.054945054945
1961,713.3516483516484
1962,712.6483516483516
1963,711.945054945055
1964,711.2417582417582
1965,710.5384615384615
1966,709.8351648351648
1967,709.1318681318681
1968,708.4285714285714
1969,707.7252747252747
1970,707.021978021978
1971,706.3186813186813
1972,705.6153846153846
1973,704.9120879120879
1974,704.2087912087912
1975,703.5054945054945
1976,702.8021978021978
1977,702.0989010989011
1978,701.3956043956044
1979,700.6923076923077
1980,699.989010989011
1981,699.2857142857143
1982,698.5824175824175
1983,697.8791208791208
1984,697.1758241758241
1985,696.4725274725274
1986,695.7692307692307
1987,695.065934065934
1988,694.3626373626373
1989,693.6593406593406
1990,692.9560439560439
1991,692.2527472527472
1992,691.5494505494505
1993,690.8461538461538
1994,690.1428571428571
1995,689.4395604395604
1996,688.7362637362637
1997,688.032967032967
1998,687.3296703296703
1999,686.6263736263736
2000,685.9230769230769
2001,685.2197802197802
2002,684.5164835164835
2003,683.8131868131868
2004,683.1098901098901
2005,682.4065934065934
2006,681.7032967032967
2007,681.0
2008,681.2608695652174
2009,681.5217391304348
2010,681.7826086956521
2011,682.0434782608696
2012,682.304347826087
2013,682.5652173913044
2014,682.8260869565217
2015,683.0869565217391
2016,683.3478260869565
2017,683.6086956521739
2018,683.8695652173913
2019,684.1304347826087
2020,684.3913043478261
2021,684.6521739130435
2022,684.9130434782609
2023,685.1739130434783
2024,685.4347826086956
2025,685.695652173913
2026,685.9565217391304
2027,686.2173913043479
2028,686.4782608695652
2029,686.7391304347826
2030,687.0
2031,687.2608695652174
2032,687.5217391304348
2033,687.7826086956521
2034,688.0434782608696
2035,688.304347826087
2036,688.5652173913044
2037,688.8260869565217
2038,689.0869565217391
2039,689.3478260869565
2040,689.6086956521739
2041,689.8695652173913
2042,690.1304347826087
2043,690.3913043478261
2044,690.6521739130435
2045,690.9130434782609
2046,691.1739130434783
2047,691.4347826086956
2048,691.695652173913
2049,691.9565217391304
2050,692.2173913043479
2051,692.4782608695652
2052,692.7391304347826
2053,693.0
2054,693.2608695652174
2055,693.5217391304348
2056,693.7826086956521
2057,694.0434782608696
2058,694.304347826087
2059,694.5652173913044
2060,694.8260869565217
2061,695.0869565217391
2062,695.3478260869565
2063,695.6086956521739
2064,695.8695652173913
2065,696.1304347826087
2066,696.3913043478261
2067,696.6521739130435
2068,696.9130434782609
2069,697.1739130434783
2070,697.4347826086956
2071,697.695652173913
2072,697.9565217391304
2073,698.2173913043479
2074,698.4782608695652
2075,698.7391304347826
2076,699.0
2077,699.2608695652174
2078,699.5217391304348
2079,699.7826086956521
2080,700.0434782608696
2081,700.304347826087
2082,700.5652173913044
2083,700.8260869565217
2084,701.0869565217391
2085,701.3478260869565
2086,701.6086956521739
2087,701.8695652173913
2088,702.1304347826087
2089,702.3913043478261
2090,702.6521739130435
2091,702.9130434782609
2092,703.1739130434783
2093,703.4347826086956
2094,703.695652173913
2095,703.9565217391304
2096,704.2173913043479
2097,704.4782608695652
2098,704.7391304347826
2099,705.0
2100,705.8369565217391
2101,706.6739130434783
2102,707.5108695652174
2103,708.3478260869565
2104,709.1847826086956
2105,710.0217391304348
2106,710.8586956521739
2107,711.695652173913
2108,712.5326086956521
2109,713.3695652173913
2110,714.2065217391304
2111,715.0434782608696
2112,715.8804347826087
2113,716.7173913043479
2114,717.554347826087
2115,718.3913043478261
2116,719.2282608695652
2117,720.0652173913044
2118,720.9021739130435
2119,721.7391304347826
